id;asn;location
"0";"20940";"SIX Seattle: MTU 1500"
"1";"20940";"ECIX-MUC / INXS by ecix"
"2";"20940";"NL-ix: Main"
"3";"20940";"Namex Rome IXP: VLAN Peering"
"4";"20940";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"5";"20940";"INEX LAN1: INEX LAN1"
"6";"20940";"Equinix Palo Alto"
"7";"20940";"BCIX: BCIX Peering LAN"
"8";"20940";"NIX.CZ: Public peering VLAN"
"9";"20940";"SwissIX: Peering"
"10";"20940";"NYIIX"
"11";"20940";"Equinix Miami IX"
"12";"20940";"LINX LON1: Main"
"13";"20940";"Digital Realty Atlanta"
"14";"20940";"JPIX TOKYO"
"15";"20940";"Equinix Tokyo"
"16";"20940";"Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500"
"17";"20940";"Equinix Sydney"
"18";"20940";"Equinix Hong Kong"
"19";"20940";"ESPANIX Madrid Lower LAN"
"20";"20940";"TorIX"
"21";"20940";"Equinix São Paulo: Equinix IX - SP Metro"
"22";"20940";"ECIX-DUS"
"23";"20940";"Equinix Warsaw"
"24";"20940";"DRF IX"
"25";"20940";"IX Leeds"
"26";"20940";"MICE: Shared Peering"
"27";"20940";"Equinix Ashburn"
"28";"20940";"LONAP: LON0"
"29";"20940";"BNIX"
"30";"20940";"AMS-IX Caribbean"
"31";"20940";"JXIX"
"32";"20940";"KINX"
"33";"20940";"OCIX"
"34";"20940";"UAE-IX: UAE-IX Peering LAN"
"35";"20940";"MyIX"
"36";"20940";"AMS-IX Hong Kong"
"37";"20940";"France-IX Paris"
"38";"20940";"MBIX: Public Peering"
"39";"20940";"JPIX OSAKA"
"40";"20940";"BBIX Tokyo"
"41";"20940";"Boston Internet Exchange"
"42";"20940";"BIX.BG: Main"
"43";"20940";"CoreSite - Any2 California"
"44";"20940";"OmahaIX"
"45";"20940";"NAPAfrica IX Johannesburg: Peering"
"46";"20940";"DE-CIX New York: DE-CIX New York Peering LAN"
"47";"20940";"ECIX-FRA"
"48";"20940";"MIX-IT"
"49";"20940";"APE"
"50";"20940";"LINX Manchester"
"51";"20940";"Phoenix IX: Production"
"52";"20940";"AMS-IX"
"53";"20940";"TPAIX"
"54";"20940";"HIX Haiti"
"55";"20940";"ECIX-HAM"
"56";"20940";"SGIX: Peering LAN"
"57";"20940";"AMS-IX BA"
"58";"20940";"TahoeIX: Peering"
"59";"20940";"FL-IX"
"60";"20940";"RVA-IX"
"61";"20940";"ChIX"
"62";"20940";"NetIX: NetIX"
"63";"20940";"OpenIXP / NiCE"
"64";"20940";"AKL-IX (Auckland NZ): AKL-IX"
"65";"20940";"MASS-IX: ISP Peering LAN"
"66";"20940";"NYIIX Los Angeles"
"67";"20940";"France-IX Marseille"
"68";"20940";"VIX"
"69";"20940";"Thinx"
"70";"20940";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"71";"20940";"SNAP"
"72";"20940";"MidWest-IX - Indy"
"73";"20940";"DET-IX"
"74";"20940";"MegaIX Melbourne: MegaIX"
"75";"20940";"MegaIX Los Angeles"
"76";"20940";"MegaIX Ashburn: MegaIX"
"77";"20940";"MegaIX Dallas"
"78";"20940";"MegaIX Sydney: MegaIX"
"79";"20940";"MegaIX Brisbane: MegaIX"
"80";"20940";"TIX Tanzania - Dar es Salaam"
"81";"20940";"MegaIX Seattle: MegaIX"
"82";"20940";"MegaIX Singapore"
"83";"20940";"Equinix Singapore"
"84";"20940";"MGMix Montgomery"
"85";"20940";"SH-IX"
"86";"20940";"Equinix Chicago"
"87";"20940";"BBIX Osaka"
"88";"20940";"NAPAfrica IX Cape Town"
"89";"20940";"Equinix Dallas"
"90";"20940";"YYCIX"
"91";"20940";"UIXP"
"92";"20940";"TTIX"
"93";"20940";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"94";"20940";"Equinix Melbourne"
"95";"20940";"ArmIX: Peering"
"96";"20940";"IX.br (PTT.br) Porto Alegre: ATM/MPLA"
"97";"20940";"DIX: DIX LAN"
"98";"20940";"TPIX-TW"
"99";"20940";"BKNIX: Bangkok"
"100";"20940";"INEX Cork: Peering LAN"
"101";"20940";"UA-IX"
"102";"20940";"STHIX - Stockholm: STH Peering"
"103";"20940";"MegaIX Auckland: MegaIX"
"104";"20940";"JPNAP Tokyo: Peering"
"105";"20940";"HFXIX"
"106";"20940";"IIFON IX Kolkata: Main"
"107";"20940";"LINX NoVA"
"108";"20940";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"109";"20940";"Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500"
"110";"20940";"MegaIX Perth: MegaIX"
"111";"20940";"JPNAP Osaka"
"112";"20940";"IIX-Jakarta"
"113";"20940";"CATNIX"
"114";"20940";"Equinix New York"
"115";"20940";"GigaPIX - LAN 1: LAN1"
"116";"20940";"IX.br (PTT.br) Fortaleza: ATM/MPLA"
"117";"20940";"HKIX: HKIX Peering LAN"
"118";"20940";"DTEL-IX: PUBLIC"
"119";"20940";"Peering.cz"
"120";"20940";"GIXA: Peering LAN"
"121";"20940";"IX.br (PTT.br) Curitiba: ATM/MPLA"
"122";"20940";"DE-CIX Dallas: DE-CIX Dallas Peering LAN"
"123";"20940";"LU-CIX"
"124";"20940";"NIX.SK"
"125";"20940";"DE-CIX Istanbul: DE-CIX Istanbul Peering LAN"
"126";"20940";"InterLAN: InterLAN Peering Network"
"127";"20940";"Netnod Copenhagen BLUE -- MTU9K: 9K-BLUE"
"128";"20940";"Netnod Copenhagen GREEN -- MTU9K: 9K-GREEN"
"129";"20940";"LINX Scotland: LINX Scotland"
"130";"20940";"PhOpenIX-Manila"
"131";"20940";"Equinix Osaka"
"132";"20940";"MEX-IX: McAllen Peering LAN"
"133";"20940";"LyonIX: lyonix-peering"
"134";"20940";"KG-IX Bishkek: peering network"
"135";"20940";"IX.br (PTT.br) Brasília: ATM/MPLA"
"136";"20940";"MINAP Milan: MINAP"
"137";"20940";"IXP.MX - Mexico City: Primary"
"138";"20940";"MSK-IX Moscow: MSK-IX peering network"
"139";"20940";"Extreme IX Mumbai: Extreme IX"
"140";"20940";"DE-CIX Mumbai: Mumbai IX"
"141";"20940";"Extreme IX Delhi: Extreme IX LAN"
"142";"20940";"JBIX: JBIX"
"143";"20940";"EPIX.Katowice"
"144";"20940";"EPIX.Warszawa-KIX"
"145";"20940";"CSL Thai-IX Malaysia: THAI-IX"
"146";"20940";"PIT Santiago - PIT Chile: LAN"
"147";"20940";"TWIX"
"148";"20940";"IX Australia (Sydney NSW): NSW-IX"
"149";"20940";"IX Australia (Brisbane QLD): QLD-IX"
"150";"20940";"IX Australia (Melbourne VIC): VIC-IX"
"151";"20940";"IX Australia (Adelaide SA): SA-IX"
"152";"20940";"IX Australia (Perth WA): WA-IX"
"153";"20940";"NYIIX Philadelphia"
"154";"20940";"CINX: CINX Peering"
"155";"20940";"PhillyIX"
"156";"20940";"MSK-IX Saint-Petersburg: MSK-IX Saint-Petersburg peering network"
"157";"20940";"QIX"
"158";"20940";"JKT-IX: Main"
"159";"20940";"INEX LAN2"
"160";"31800";"NL-ix: Main"
"161";"31800";"Equinix Dallas"
"162";"31800";"Equinix San Jose"
"163";"31800";"Digital Realty Atlanta"
"164";"31800";"Equinix Sydney"
"165";"31800";"SIX Seattle: MTU 1500"
"166";"31800";"Equinix Ashburn"
"167";"31800";"Equinix Singapore"
"168";"31800";"FIXO"
"169";"31800";"MegaIX Auckland: MegaIX"
"170";"31800";"MegaIX Sydney: MegaIX"
"171";"31800";"MegaIX Brisbane: MegaIX"
"172";"31800";"MegaIX Melbourne: MegaIX"
"173";"31800";"IX Australia (Perth WA): WA-IX"
"174";"22822";"SIX Seattle: MTU 1500"
"175";"22822";"Equinix Tokyo"
"176";"22822";"Equinix Hong Kong"
"177";"22822";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"178";"22822";"Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500"
"179";"22822";"Equinix Chicago"
"180";"22822";"Equinix Dallas"
"181";"22822";"Equinix Los Angeles"
"182";"22822";"Equinix San Jose"
"183";"22822";"Equinix Palo Alto"
"184";"22822";"NYIIX"
"185";"22822";"Equinix Miami IX"
"186";"22822";"NYIIX Los Angeles"
"187";"22822";"TorIX"
"188";"22822";"JPIX TOKYO"
"189";"22822";"INEX LAN1: INEX LAN1"
"190";"22822";"VIX"
"191";"22822";"Digital Realty New York"
"192";"22822";"ECIX-DUS"
"193";"22822";"AZIX"
"194";"22822";"Equinix Paris: Equinix IX - PA Metro"
"195";"22822";"PIX Vancouver"
"196";"22822";"LINX LON2"
"197";"22822";"ESPANIX Madrid Lower LAN"
"198";"22822";"MIX-IT"
"199";"22822";"TOP-IX: Public Peering VLAN"
"200";"22822";"Equinix New York"
"201";"22822";"CoreSite - Any2 Chicago"
"202";"22822";"Equinix Ashburn"
"203";"22822";"JPIX OSAKA"
"204";"22822";"LINX LON1: Main"
"205";"22822";"CoreSite - Any2 California"
"206";"22822";"AMS-IX"
"207";"22822";"France-IX Paris"
"208";"22822";"LINX NoVA"
"209";"22822";"FL-IX"
"210";"22822";"DE-CIX New York: DE-CIX New York Peering LAN"
"211";"22822";"BCIX: BCIX Peering LAN"
"212";"22822";"MegaIX Singapore"
"213";"22822";"AMS-IX Chicago"
"214";"22822";"SwissIX: Peering"
"215";"22822";"ECIX-FRA"
"216";"22822";"France-IX Marseille"
"217";"22822";"Equinix Atlanta"
"218";"22822";"Equinix Warsaw"
"219";"22822";"Equinix Singapore"
"220";"22822";"BBIX Tokyo"
"221";"22822";"SFMIX"
"222";"22822";"MegaIX Seattle: MegaIX"
"223";"22822";"DE-CIX Palermo: DE-CIX Palermo Peering LAN"
"224";"22822";"SOX Serbia"
"225";"22822";"JPNAP Tokyo: Peering"
"226";"22822";"AMS-IX Hong Kong"
"227";"22822";"Peering.cz"
"228";"22822";"DE-CIX Marseille: DE-CIX Marseille Peering LAN"
"229";"22822";"MICE: Shared Peering"
"230";"22822";"NIX.CZ: Public peering VLAN"
"231";"22822";"BBIX Osaka"
"232";"22822";"Phoenix IX: Production"
"233";"22822";"Digital Realty Atlanta"
"234";"22822";"Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500"
"235";"22822";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"236";"22822";"BIX.BG: Main"
"237";"22822";"NAPAfrica IX Johannesburg: Peering"
"238";"22822";"InterLAN: InterLAN Peering Network"
"239";"22822";"MyIX"
"240";"22822";"BBIX Singapore"
"241";"22822";"BBIX Hong Kong"
"242";"22822";"LINX Manchester"
"243";"22822";"DE-CIX Dallas: DE-CIX Dallas Peering LAN"
"244";"22822";"HKIX: HKIX Peering LAN"
"245";"22822";"Asteroid Amsterdam: Asteroid Amsterdam Peering LAN"
"246";"22822";"JBIX: JBIX"
"247";"22822";"LONAP: LON0"
"248";"22822";"NL-ix: Main"
"249";"22822";"CSL Thai-IX Singapore: Main"
"250";"22822";"MEX-IX: McAllen Peering LAN"
"251";"22822";"Equinix Manchester: Equinix IX - MA Metro"
"252";"22822";"JPNAP Osaka"
"253";"22822";"CoreSite - Any2 Denver "
"254";"3303";"Equinix Chicago"
