timestamp per minute,as_number: Descending,Number of Queries
10:21,ASN A,19996
10:21,ASN B,497
10:21,ASN C,339
10:21,ASN D,158
10:21,ASN E,138
10:22,ASN A,19781
10:22,ASN C,546
10:22,ASN B,533
10:22,ASN F,346
10:22,ASN E,240
10:23,ASN A,21089
10:23,ASN B,497
10:23,ASN C,460
10:23,ASN F,295
10:23,ASN E,189
10:24,ASN A,21375
10:24,ASN B,466
10:24,ASN C,358
10:24,ASN F,289
10:24,ASN E,206
10:25,ASN A,19840
10:25,ASN B,481
10:25,ASN F,227
10:25,ASN E,170
10:25,ASN D,160
10:27,ASN A,20312
10:27,ASN B,471
10:27,ASN F,292
10:27,ASN E,182
10:27,ASN D,169
10:28,ASN A,20650
10:28,ASN B,467
10:28,ASN F,176
10:28,ASN E,164
10:28,ASN D,151
10:29,ASN A,19701
10:29,ASN B,446
10:29,ASN F,284
10:29,ASN D,168
10:29,ASN E,129
10:30,ASN A,19656
10:30,ASN B,469
10:30,ASN F,306
10:30,ASN C,195
10:30,ASN D,185
10:31,ASN A,20524
10:31,ASN C,1058
10:31,ASN B,500
10:31,ASN D,207
10:31,ASN F,150
10:32,ASN A,20885
10:32,ASN B,500
10:32,ASN F,178
10:32,ASN E,161
10:32,ASN D,144
10:33,ASN A,21166
10:33,ASN B,474
10:33,ASN F,283
10:33,ASN D,130
10:33,ASN E,122
10:34,ASN A,20749
10:34,ASN B,500
10:34,ASN F,305
10:34,ASN E,146
10:34,ASN D,138
10:35,ASN A,22503
10:35,ASN B,522
10:35,ASN F,216
10:35,ASN E,193
10:35,ASN D,169
10:36,ASN A,21019
10:36,ASN B,507
10:36,ASN F,407
10:36,ASN E,262
10:36,ASN D,176
10:37,ASN A,20705
10:37,ASN B,468
10:37,ASN F,343
10:37,ASN E,169
10:37,ASN D,131
10:38,ASN A,20612
10:38,ASN B,498
10:38,ASN F,264
10:38,ASN E,196
10:38,ASN D,171
10:39,ASN A,19684
10:39,ASN B,557
10:39,ASN F,444
10:39,ASN E,255
10:39,ASN G,168
10:41,ASN A,19625
10:41,ASN B,506
10:41,ASN E,314
10:41,ASN F,195
10:41,ASN G,189
10:42,ASN A,19511
10:42,ASN B,652
10:42,ASN F,334
10:42,ASN E,280
10:42,ASN D,157
10:43,ASN A,18984
10:43,ASN B,481
10:43,ASN F,440
10:43,ASN E,267
10:43,ASN D,199
10:44,ASN A,19178
10:44,ASN B,524
10:44,ASN F,320
10:44,ASN E,253
10:44,ASN D,172
10:45,ASN A,19926
10:45,ASN B,469
10:45,ASN F,395
10:45,ASN E,316
10:45,ASN D,186
10:46,ASN A,18980
10:46,ASN B,484
10:46,ASN F,272
10:46,ASN D,261
10:46,ASN E,214
10:47,ASN A,19311
10:47,ASN B,479
10:47,ASN E,360
10:47,ASN F,263
10:47,ASN D,192
10:48,ASN A,19470
10:48,ASN B,509
10:48,ASN E,357
10:48,ASN F,333
10:48,ASN G,147
10:49,ASN A,18034
10:49,ASN B,439
10:49,ASN F,316
10:49,ASN E,242
10:49,ASN D,145
10:50,ASN A,20788
10:50,ASN B,453
10:50,ASN F,296
10:50,ASN E,220
10:50,ASN D,130
10:51,ASN A,19061
10:51,ASN B,471
10:51,ASN F,393
10:51,ASN E,218
10:51,ASN D,144
10:52,ASN A,17894
10:52,ASN B,429
10:52,ASN F,286
10:52,ASN E,262
10:52,ASN D,149
10:53,ASN A,17205
10:53,ASN B,407
10:53,ASN E,269
10:53,ASN F,249
10:53,ASN D,227
10:54,ASN A,17252
10:54,ASN B,396
10:54,ASN F,234
10:54,ASN E,191
10:54,ASN D,139
10:56,ASN A,19431
10:56,ASN F,432
10:56,ASN B,415
10:56,ASN E,178
10:56,ASN D,149
10:57,ASN A,18928
10:57,ASN B,459
10:57,ASN F,313
10:57,ASN E,247
10:57,ASN D,184
10:58,ASN A,18645
10:58,ASN B,477
10:58,ASN F,224
10:58,ASN E,190
10:58,ASN D,187
10:59,ASN A,19336
10:59,ASN B,536
10:59,ASN F,247
10:59,ASN D,193
10:59,ASN E,189
11:00,ASN A,19060
11:00,ASN B,454
11:00,ASN D,259
11:00,ASN F,252
11:00,ASN E,181
11:01,ASN A,21042
11:01,ASN C,681
11:01,ASN B,422
11:01,ASN F,261
11:01,ASN E,235
11:02,ASN A,20005
11:02,ASN B,446
11:02,ASN E,186
11:02,ASN F,175
11:02,ASN H,167
11:03,ASN A,19725
11:03,ASN B,524
11:03,ASN F,344
11:03,ASN E,165
11:03,ASN D,163
11:04,ASN A,19352
11:04,ASN B,520
11:04,ASN F,271
11:04,ASN E,260
11:04,ASN D,144
11:05,ASN A,20297
11:05,ASN B,444
11:05,ASN F,359
11:05,ASN E,276
11:05,ASN D,126
11:06,ASN A,20737
11:06,ASN B,471
