timestamp per minute,Unique count of ip_address,dns server,Unique count of ip_address
06:51,6421,DNS03,2919
06:51,6421,DNS01,2911
06:51,6421,DNS02,2874
06:52,6301,DNS02,2864
06:52,6301,DNS03,2828
06:52,6301,DNS01,2822
06:53,6303,DNS03,2891
06:53,6303,DNS01,2861
06:53,6303,DNS02,2816
06:54,6203,DNS02,2856
06:54,6203,DNS01,2848
06:54,6203,DNS03,2700
06:55,6126,DNS01,2806
06:55,6126,DNS02,2759
06:55,6126,DNS03,2708
06:56,6154,DNS03,2753
06:56,6154,DNS01,2747
06:56,6154,DNS02,2715
06:57,6342,DNS02,2883
06:57,6342,DNS01,2871
06:57,6342,DNS03,2832
06:58,6287,DNS01,2944
06:58,6287,DNS02,2819
06:58,6287,DNS03,2806
07:00,6165,DNS01,2875
07:00,6165,DNS02,2777
07:00,6165,DNS03,2736
07:01,6376,DNS01,2973
07:01,6376,DNS02,2926
07:01,6376,DNS03,2909
07:02,6407,DNS02,2960
07:02,6407,DNS01,2945
07:02,6407,DNS03,2908
07:03,6226,DNS01,2869
07:03,6226,DNS02,2825
07:03,6226,DNS03,2788
07:04,6353,DNS02,2906
07:04,6353,DNS01,2882
07:04,6353,DNS03,2767
07:05,6470,DNS02,2954
07:05,6470,DNS01,2950
07:05,6470,DNS03,2868
07:06,6287,DNS01,2899
07:06,6287,DNS02,2867
07:06,6287,DNS03,2863
07:07,6187,DNS02,2812
07:07,6187,DNS01,2771
07:07,6187,DNS03,2746
07:08,6130,DNS01,2805
07:08,6130,DNS02,2785
07:08,6130,DNS03,2753
07:09,6387,DNS02,2880
07:09,6387,DNS01,2868
07:09,6387,DNS03,2861
07:10,6244,DNS01,2912
07:10,6244,DNS03,2834
07:10,6244,DNS02,2817
07:11,6260,DNS01,2896
07:11,6260,DNS02,2843
07:11,6260,DNS03,2828
07:12,6165,DNS01,2800
07:12,6165,DNS02,2770
07:12,6165,DNS03,2755
07:14,6307,DNS01,2906
07:14,6307,DNS02,2858
07:14,6307,DNS03,2786
07:15,6390,DNS01,2883
07:15,6390,DNS02,2855
07:15,6390,DNS03,2818
07:16,6334,DNS01,2929
07:16,6334,DNS02,2810
07:16,6334,DNS03,2807
07:17,6376,DNS01,2989
07:17,6376,DNS02,2873
07:17,6376,DNS03,2872
07:18,6337,DNS01,2977
07:18,6337,DNS03,2878
07:18,6337,DNS02,2876
07:19,6126,DNS01,2806
07:19,6126,DNS02,2777
07:19,6126,DNS03,2732
07:20,6275,DNS01,2866
07:20,6275,DNS02,2860
07:20,6275,DNS03,2808
07:21,6306,DNS01,2900
07:21,6306,DNS02,2863
07:21,6306,DNS03,2820
07:22,6306,DNS01,2949
07:22,6306,DNS02,2849
07:22,6306,DNS03,2794
07:23,6322,DNS01,2888
07:23,6322,DNS02,2843
07:23,6322,DNS03,2803
07:24,6359,DNS01,2954
07:24,6359,DNS02,2905
07:24,6359,DNS03,2813
07:25,6362,DNS01,2911
07:25,6362,DNS02,2881
07:25,6362,DNS03,2874
07:26,6304,DNS01,3056
07:26,6304,DNS03,3015
07:26,6304,DNS02,2891
07:28,6523,DNS01,3438
07:28,6523,DNS03,3393
07:28,6523,DNS02,2380
07:29,6569,DNS01,3011
07:29,6569,DNS02,2967
07:29,6569,DNS03,2902
07:30,6443,DNS01,2959
07:30,6443,DNS02,2936
07:30,6443,DNS03,2900
07:31,6768,DNS01,3155
07:31,6768,DNS02,3072
07:31,6768,DNS03,3009
07:32,6607,DNS02,3033
07:32,6607,DNS01,3009
07:32,6607,DNS03,2944
07:33,6431,DNS01,2940
07:33,6431,DNS02,2897
07:33,6431,DNS03,2858
07:34,6151,DNS02,3400
07:34,6151,DNS03,3221
07:34,6151,DNS01,2221
07:35,6398,DNS02,3902
07:35,6398,DNS03,3818
07:36,6348,DNS02,3696
07:36,6348,DNS03,3667
07:36,6348,DNS01,973
07:37,6127,DNS02,3339
07:37,6127,DNS03,3068
07:37,6127,DNS01,2508
07:38,6301,DNS03,2879
07:38,6301,DNS01,2866
07:38,6301,DNS02,2786
07:39,6162,DNS01,2787
07:39,6162,DNS02,2776
07:39,6162,DNS03,2750
07:40,6322,DNS02,2870
07:40,6322,DNS01,2842
07:40,6322,DNS03,2796
07:41,6225,DNS01,2854
07:41,6225,DNS03,2826
07:41,6225,DNS02,2801
07:43,6382,DNS03,2924
07:43,6382,DNS02,2881
07:43,6382,DNS01,2864
07:44,6289,DNS03,2856
07:44,6289,DNS01,2820
07:44,6289,DNS02,2802
07:45,6525,DNS02,2997
07:45,6525,DNS01,2961
07:45,6525,DNS03,2915
07:46,6365,DNS02,2930
07:46,6365,DNS03,2870
07:46,6365,DNS01,2858
07:47,6351,DNS01,2979
07:47,6351,DNS02,2909
07:47,6351,DNS03,2807
07:48,6431,DNS02,2920
07:48,6431,DNS01,2887
07:48,6431,DNS03,2866
07:49,6337,DNS01,2879
07:49,6337,DNS02,2800
07:49,6337,DNS03,2769
07:50,6831,DNS01,3115
07:50,6831,DNS02,3065
07:50,6831,DNS03,2997
